PM2.5 ;ICA
12,19458333;49,35560763
11,31958333;47,16493054
7,955;33,14583333
10,33916667;43,07986113
11,42666667;47,61111113
12,485;49,94854167
11,49208333;47,88368054
11,15;46,43923613
14,12;53,27986112
15,40;55,90595487
15,72;56,5592882
19,21;63,67024305
17,62;60,44185763
16,14;57,41934028
19,85;64,98286458
29,20;84,07925347
26,78;79,13842013
22,16;69,70081597
23,36;72,15762153
18,65;62,5311632
23,19;71,79692708
25,67;76,87557292
26,53;78,61524305
22,15;69,67189237
18,95;63,1428125
21,65;68,66211805
22,04;69,44730903
18,13;61,46779513
10,37;43,22395833
11,56;48,16145833
10,36;43,15625
11,07;46,125
12,34;49,65590278
14,21;53,4714375
10,00;41,64756946
9,85;41,05381946
11,72;48,81770833
8,97;37,39409721
10,42;43,40972221
10,16;42,31944446
11,05;46,04166667
12,99;50,98894097
12,14;49,24756945
11,88;49,48958333
11,13;46,35763888
10,92;45,50868054
11,49;47,86979167
10,85;45,19270833
10,31;42,93923613
8,28;34,51041667
8,00;33,31944446
7,63;31,80555554
7,31;30,47569446
7,49;31,19270833
7,15;29,80729167
8,25;34,37326388
10,04;41,85243054
9,17;38,19270833
8,56;35,67013888
9,32;38,85243054
7,40;30,82986113
6,86;28,57465279
7,50;31,24652779
7,14;29,73784721
8,41;35,03819446
9,27;38,61284721
9,27;38,63888888
10,36;43,171875
8,31;34,622807
10,84;45,16319446
9,52;39,66666667
9,63;40,11284721
10,34;43,09895833
9,40;39,18229167
10,28;42,82986113
10,59;44,10416667
7,73;32,19270833
6,98;29,09722221
9,24;38,49826388
10,64;44,32638888
10,31;42,95833333
10,75;44,78125
9,57;39,85590279
9,66;40,25520833
8,52;35,50347221
8,33;34,72569446
9,91;41,28645833
7,41;30,85590279
6,22;25,92881946
5,50;22,91666667
5,71;23,78645833
